,Equipo local,Resultado,Equipo visitante,fecha
3,Tigre,3-0,Platense,10
4,Aldosivi,0-3,River Plate,10
5,Gimnasia La Plata,1-0,Lanús,10
6,Boca Juniors,3-1,Estudiantes de La Plata,10
7,San Lorenzo,1-1,Talleres de Córdoba,10
8,Banfield,1-1,Argentinos Juniors,10
9,Newell's Old Boys,1-2,Defensa y Justicia,10
10,Unión Santa Fe,2-1,Godoy Cruz,10
11,Vélez Sarsfield,1-1,Huracán,10
12,Arsenal de Sarandí,0-3,Rosario Central,10
13,Barracas Central,2-1,Patronato,10
0,Godoy Cruz,1-1,Vélez Sarsfield,11
1,Talleres de Córdoba,Aplazado,Unión Santa Fe,11
2,Argentinos Juniors,0-1,San Lorenzo,11
3,Estudiantes de La Plata,0-0,Banfield,11
4,Atlético Tucumán,2-0,Newell's Old Boys,11
5,Huracán,0-1,Gimnasia La Plata,11
6,Lanús,0-1,Aldosivi,11
7,Platense,0-0,Barracas Central,11
8,Racing Club,3-3,Tigre,11
9,Patronato,3-0,Boca Juniors,11
10,River Plate,1-2,Sarmiento,11
11,Defensa y Justicia,0-0,Arsenal de Sarandí,11
12,Rosario Central,0-3,Central Córdoba (Santiago del Estero),11
13,Colón Santa Fe,0-3,Independiente,11
0,Gimnasia La Plata,2-0,Godoy Cruz,12
1,Banfield,0-0,Patronato,12
2,Sarmiento,2-1,Lanús,12
3,Arsenal de Sarandí,3-1,Atlético Tucumán,12
4,Barracas Central,0-0,Racing Club,12
5,Talleres de Córdoba,2-0,Argentinos Juniors,12
6,Unión Santa Fe,2-1,Vélez Sarsfield,12
7,Boca Juniors,2-1,Platense,12
8,Aldosivi,0-1,Huracán,12
9,San Lorenzo,0-0,Estudiantes de La Plata,12
10,Independiente,0-1,River Plate,12
11,Newell's Old Boys,0-0,Colón Santa Fe,12
12,Central Córdoba (Santiago del Estero),1-0,Defensa y Justicia,12
13,Tigre,3-1,Rosario Central,12
0,Godoy Cruz,2-0,Aldosivi,13
1,Atlético Tucumán,1-0,Central Córdoba (Santiago del Estero),13
2,Colón Santa Fe,1-1,Arsenal de Sarandí,13
3,Huracán,4-1,Sarmiento,13
4,Platense,3-1,Banfield,13
5,Patronato,3-2,San Lorenzo,13
6,Defensa y Justicia,0-0,Tigre,13
7,Rosario Central,3-1,Barracas Central,13
8,Lanús,1-1,Independiente,13
